0	1	0	2
1	1	0	3
2	2	1	3
3	2	1	4
4	3	2	4
5	4	3	5
6	5	4	7
7	7	6	9
8	9	8	11
9	12	11	15
10	16	15	20
11	21	20	26
12	28	27	34
13	37	36	45
14	48	47	60
15	64	63	80
16	84	83	106
17	111	110	141
18	147	146	189
19	194	193	252
20	256	254	337
21	338	336	451
22	446	444	603
23	588	586	806
24	776	773	1079
25	1024	1020	1443
26	1351	1346	1931
27	1783	1777	2583
28	2352	2344	3456
29	3104	3093	4623
30	4096	4081	6184
31	5405	5385	8273
32	7131	7105	11068
33	9410	9375	14806
34	12417	12369	19807
35	16384	16320	26497
36	21619	21532	35446
37	28526	28408	47418
38	37640	37481	63434
39	49667	49452	84860
40	65536	65245	113522
41	86475	86082	151864
42	114105	113574	203158
43	150562	149845	271776
44	198668	197700	363569
45	262144	260839	486367
46	345901	344141	650641
47	456419	454046	870399
48	602249	599052	1164382
49	794672	790366	1557660
50	1048576	1000000	2083769
51	1383604	1000000	2787575
52	1825677	1000000	3729096
53	2408995	1000000	4988622
54	3178688	1000000	6673560
55	4194304	1000000	8927597
56	5534417	1000000	11942949
57	7302707	1000000	15976754
58	9635980	1000000	21373003
59	12714752	1000000	28591869
